,cluster_label,price_per_stay,review_scores_rating,Neighborhood,Property,Room Type
0,4,1100.0,98,Scripps Ranch,House,Private room
1,5,1400.0,100,La Jolla,Apartment,Entire home/apt
2,5,1250.0,97,Pacific Beach,Townhouse,Private room
3,5,1150.0,98,College Area,Apartment,Entire home/apt
4,1,110.0,90,La Jolla,Condominium,Private room
5,4,645.0,97,Mira Mesa,House,Private room
6,4,38.0,97,University City,House,Private room
7,4,42.0,98,Mission Valley,Condominium,Private room
8,5,7500.0,96,Cortez Hill,Condominium,Private room
9,5,40.0,100,North City,House,Private room
10,1,75.0,93,Rancho Penasquitos,Bungalow,Entire home/apt
11,5,5000.0,95,Memorial,Condominium,Entire home/apt
12,1,4500.0,100,Mission Bay,House,Private room
13,4,3900.0,97,Pacific Beach,Condominium,Entire home/apt
14,5,3810.0,100,North Hills,Apartment,Private room
15,5,750.0,98,Allied Gardens,House,Private room
16,4,38.0,94,West University Heights,Apartment,Private room
17,1,3300.0,96,Cortez Hill,Condominium,Entire home/apt
18,5,3220.0,99,Serra Mesa,Apartment,Private room
19,5,2970.0,97,Midtown,Townhouse,Private room
20,1,2850.0,80,Ocean Beach,Bungalow,Entire home/apt
21,1,2790.0,99,Pacific Beach,Apartment,Entire home/apt
22,1,30.0,100,Mission Valley,Condominium,Private room
23,4,2635.0,99,Serra Mesa,Boutique hotel,Private room
24,1,27.0,80,Mission Valley,Condominium,Private room
25,4,2356.0,97,Bay Ho,Guest suite,Entire home/apt
26,0,2250.0,99,Balboa Park,Condominium,Private room
27,5,2250.0,100,Carmel Valley,Townhouse,Private room
28,4,2250.0,100,Little Italy,Apartment,Private room
29,4,2240.0,99,Rolling Hills Ranch,Guesthouse,Entire home/apt
30,5,2175.0,96,Mission Bay,House,Entire home/apt
31,5,2160.0,97,Jomacha-Lomita,House,Private room
32,5,2100.0,97,La Jolla Village,Condominium,Private room
33,4,2100.0,97,La Jolla,House,Private room
34,4,2070.0,98,Allied Gardens,House,Private room
35,4,2070.0,97,Torrey Pines,Condominium,Private room
36,0,2010.0,93,Mount Hope,Condominium,Entire home/apt
37,5,999.0,97,Sabre Springs,House,Private room
38,4,1953.0,100,Serra Mesa,Townhouse,Private room
39,4,1950.0,96,Pacific Beach,Condominium,Private room
40,4,1950.0,97,La Jolla Village,Townhouse,Private room
41,4,1950.0,96,Mission Bay,Townhouse,Private room
42,4,1860.0,100,Mission Bay,Guest suite,Entire home/apt
43,4,1800.0,100,Carmel Valley,House,Private room
44,4,1800.0,97,Midtown,House,Private room
45,4,1800.0,96,Carmel Valley,Townhouse,Private room
46,4,1800.0,97,Pacific Beach,Condominium,Private room
47,1,1705.0,92,North Hills,Condominium,Private room
48,4,1680.0,95,Pacific Beach,Apartment,Private room
49,4,1650.0,99,Tierrasanta,Condominium,Private room
50,4,1650.0,80,Mission Bay,Townhouse,Private room
51,5,1650.0,100,La Jolla Village,Townhouse,Private room
52,4,1650.0,97,La Jolla Village,Townhouse,Private room
53,4,1550.0,97,Old Town,House,Private room
54,4,1550.0,97,Old Town,House,Private room
55,5,300.0,100,Bay Park,Apartment,Private room
56,4,1500.0,100,Rancho Bernadino,House,Private room
57,4,1500.0,100,Mira Mesa,House,Private room
58,4,1500.0,100,Normal Heights,Apartment,Entire home/apt
59,5,1500.0,99,Carmel Valley,Condominium,Private room
60,5,1500.0,97,University City,Townhouse,Private room
61,1,1500.0,98,Kensington,House,Private room
62,4,1500.0,98,Scripps Ranch,House,Private room
63,4,1475.0,100,Mission Bay,Condominium,Private room
64,5,1449.0,97,University City,Apartment,Entire home/apt
65,4,1440.0,95,East Village,Condominium,Private room
66,0,1410.0,96,Mira Mesa,House,Private room
67,4,1410.0,98,Old Town,Apartment,Private room
68,4,1410.0,93,Midtown,Boutique hotel,Private room
69,4,1410.0,98,Midtown,Boutique hotel,Private room
70,4,1395.0,80,Scripps Ranch,Townhouse,Private room
71,4,1395.0,98,Scripps Ranch,Townhouse,Private room
72,4,1395.0,100,Scripps Ranch,Townhouse,Private room
73,4,1380.0,100,Midtown,Boutique hotel,Private room
74,2,1372.0,20,Otay Ranch,House,Private room
75,4,1350.0,96,Carmel Valley,Townhouse,Private room
76,4,1350.0,99,Carmel Valley,Townhouse,Private room
77,4,1320.0,80,Midtown,Boutique hotel,Private room
78,4,1320.0,85,Midtown,Boutique hotel,Private room
79,4,1260.0,100,Bay Ho,House,Private room
80,4,1260.0,98,Linda Vista,House,Private room
81,4,1230.0,100,Carmel Valley,Townhouse,Private room
